Hello, Python!
File handling is easy with Python.Hello, Python!
File handling is easy with Python.Hello, Python!
File handling is easy with Python.Hello, Python!
File handling is easy with Python.Hello, Python!
File handling is easy with Python.Hello, Python!
File handling is easy with Python.2026-05-22 14:34:43 | Device: pump_01 | Temp: 70 | Temperature normal
2026-05-22 15:11:43 | Device: pump_01 | Temp: 78 | Temperature normal
2026-05-22 15:11:44 | Device: pump_01 | Temp: 81 | ALERT: Temperature critical
2026-05-22 15:11:45 | Device: pump_01 | Temp: 77 | Temperature normal
2026-05-22 15:11:46 | Device: pump_01 | Temp: 68 | Temperature normal
2026-05-22 15:11:47 | Device: pump_01 | Temp: 69 | Temperature normal
2026-05-22 15:11:48 | Device: pump_01 | Temp: 84 | ALERT: Temperature critical
2026-05-22 15:11:49 | Device: pump_01 | Temp: 78 | Temperature normal
2026-05-22 15:11:50 | Device: pump_01 | Temp: 66 | Temperature normal
2026-05-22 15:11:51 | Device: pump_01 | Temp: 73 | Temperature normal
2026-05-22 15:11:52 | Device: pump_01 | Temp: 83 | ALERT: Temperature critical
2026-05-22 15:11:53 | Device: pump_01 | Temp: 78 | Temperature normal
2026-05-22 15:11:54 | Device: pump_01 | Temp: 62 | Temperature normal
2026-05-22 15:11:55 | Device: pump_01 | Temp: 89 | ALERT: Temperature critical
2026-05-22 15:11:56 | Device: pump_01 | Temp: 62 | Temperature normal
2026-05-22 15:11:57 | Device: pump_01 | Temp: 86 | ALERT: Temperature critical
2026-05-22 15:11:58 | Device: pump_01 | Temp: 88 | ALERT: Temperature critical
2026-05-22 15:11:59 | Device: pump_01 | Temp: 74 | Temperature normal
2026-05-22 15:12:00 | Device: pump_01 | Temp: 65 | Temperature normal
2026-05-22 15:12:01 | Device: pump_01 | Temp: 72 | Temperature normal
2026-05-22 15:12:02 | Device: pump_01 | Temp: 87 | ALERT: Temperature critical
2026-05-22 15:12:03 | Device: pump_01 | Temp: 76 | Temperature normal
2026-05-22 15:12:04 | Device: pump_01 | Temp: 75 | Temperature normal
2026-05-22 15:12:05 | Device: pump_01 | Temp: 61 | Temperature normal
2026-05-22 15:12:06 | Device: pump_01 | Temp: 60 | Temperature normal
2026-05-22 15:12:07 | Device: pump_01 | Temp: 86 | ALERT: Temperature critical
2026-05-22 15:12:08 | Device: pump_01 | Temp: 89 | ALERT: Temperature critical
2026-05-22 15:12:09 | Device: pump_01 | Temp: 87 | ALERT: Temperature critical
2026-05-22 15:12:10 | Device: pump_01 | Temp: 76 | Temperature normal
2026-05-22 15:12:11 | Device: pump_01 | Temp: 76 | Temperature normal
2026-05-22 15:12:12 | Device: pump_01 | Temp: 89 | ALERT: Temperature critical
2026-05-22 15:12:13 | Device: pump_01 | Temp: 60 | Temperature normal
2026-05-22 15:12:14 | Device: pump_01 | Temp: 75 | Temperature normal
2026-05-22 15:12:15 | Device: pump_01 | Temp: 80 | Temperature normal
2026-05-22 15:12:16 | Device: pump_01 | Temp: 76 | Temperature normal
2026-05-22 15:12:17 | Device: pump_01 | Temp: 83 | ALERT: Temperature critical
2026-05-22 15:12:18 | Device: pump_01 | Temp: 86 | ALERT: Temperature critical
2026-05-22 15:12:19 | Device: pump_01 | Temp: 74 | Temperature normal
2026-05-22 15:12:20 | Device: pump_01 | Temp: 78 | Temperature normal
2026-05-22 15:12:21 | Device: pump_01 | Temp: 89 | ALERT: Temperature critical
2026-05-22 15:12:22 | Device: pump_01 | Temp: 79 | Temperature normal
2026-05-22 15:12:23 | Device: pump_01 | Temp: 61 | Temperature normal
2026-05-22 15:12:24 | Device: pump_01 | Temp: 74 | Temperature normal
2026-05-22 15:12:25 | Device: pump_01 | Temp: 81 | ALERT: Temperature critical
2026-05-22 15:12:26 | Device: pump_01 | Temp: 87 | ALERT: Temperature critical
2026-05-22 15:12:27 | Device: pump_01 | Temp: 76 | Temperature normal
2026-05-22 15:12:28 | Device: pump_01 | Temp: 63 | Temperature normal
2026-05-22 15:12:29 | Device: pump_01 | Temp: 71 | Temperature normal
2026-05-22 15:12:30 | Device: pump_01 | Temp: 72 | Temperature normal
2026-05-22 15:12:31 | Device: pump_01 | Temp: 66 | Temperature normal
2026-05-22 15:12:32 | Device: pump_01 | Temp: 75 | Temperature normal
2026-05-22 15:12:33 | Device: pump_01 | Temp: 76 | Temperature normal
2026-05-22 15:12:34 | Device: pump_01 | Temp: 77 | Temperature normal
2026-05-22 15:12:35 | Device: pump_01 | Temp: 84 | ALERT: Temperature critical
2026-05-22 15:12:36 | Device: pump_01 | Temp: 73 | Temperature normal
2026-05-22 15:12:37 | Device: pump_01 | Temp: 88 | ALERT: Temperature critical
2026-05-22 15:12:38 | Device: pump_01 | Temp: 66 | Temperature normal
2026-05-22 15:12:39 | Device: pump_01 | Temp: 62 | Temperature normal
2026-05-22 15:12:40 | Device: pump_01 | Temp: 71 | Temperature normal
2026-05-22 15:12:41 | Device: pump_01 | Temp: 78 | Temperature normal
2026-05-22 15:12:42 | Device: pump_01 | Temp: 75 | Temperature normal
2026-05-22 15:12:43 | Device: pump_01 | Temp: 84 | ALERT: Temperature critical
2026-05-22 15:12:44 | Device: pump_01 | Temp: 81 | ALERT: Temperature critical
2026-05-22 15:12:45 | Device: pump_01 | Temp: 79 | Temperature normal
2026-05-22 15:12:46 | Device: pump_01 | Temp: 69 | Temperature normal
2026-05-22 15:12:47 | Device: pump_01 | Temp: 62 | Temperature normal
2026-05-22 15:12:48 | Device: pump_01 | Temp: 85 | ALERT: Temperature critical
2026-05-22 15:12:49 | Device: pump_01 | Temp: 74 | Temperature normal
2026-05-22 15:12:50 | Device: pump_01 | Temp: 79 | Temperature normal
2026-05-22 15:12:51 | Device: pump_01 | Temp: 68 | Temperature normal
2026-05-22 15:12:52 | Device: pump_01 | Temp: 65 | Temperature normal
2026-05-22 15:12:53 | Device: pump_01 | Temp: 77 | Temperature normal
2026-05-22 15:12:54 | Device: pump_01 | Temp: 71 | Temperature normal
2026-05-22 15:12:55 | Device: pump_01 | Temp: 86 | ALERT: Temperature critical
2026-05-22 15:12:56 | Device: pump_01 | Temp: 60 | Temperature normal
2026-05-22 15:12:57 | Device: pump_01 | Temp: 85 | ALERT: Temperature critical
2026-05-22 15:12:58 | Device: pump_01 | Temp: 69 | Temperature normal
2026-05-22 15:12:59 | Device: pump_01 | Temp: 76 | Temperature normal
2026-05-22 15:13:00 | Device: pump_01 | Temp: 80 | Temperature normal
2026-05-22 15:13:01 | Device: pump_01 | Temp: 77 | Temperature normal
2026-05-22 15:13:02 | Device: pump_01 | Temp: 69 | Temperature normal
2026-05-22 15:13:03 | Device: pump_01 | Temp: 76 | Temperature normal
2026-05-22 15:13:04 | Device: pump_01 | Temp: 87 | ALERT: Temperature critical
2026-05-22 15:13:05 | Device: pump_01 | Temp: 62 | Temperature normal
2026-05-22 15:13:06 | Device: pump_01 | Temp: 80 | Temperature normal
2026-05-22 15:13:07 | Device: pump_01 | Temp: 88 | ALERT: Temperature critical
2026-05-22 15:13:08 | Device: pump_01 | Temp: 61 | Temperature normal
2026-05-22 15:13:09 | Device: pump_01 | Temp: 84 | ALERT: Temperature critical
2026-05-22 15:13:10 | Device: pump_01 | Temp: 67 | Temperature normal
2026-05-22 15:13:11 | Device: pump_01 | Temp: 80 | Temperature normal
2026-05-22 15:13:12 | Device: pump_01 | Temp: 84 | ALERT: Temperature critical
2026-05-22 15:13:13 | Device: pump_01 | Temp: 86 | ALERT: Temperature critical
2026-05-22 15:13:14 | Device: pump_01 | Temp: 74 | Temperature normal
2026-05-22 15:13:15 | Device: pump_01 | Temp: 78 | Temperature normal
2026-05-22 15:13:16 | Device: pump_01 | Temp: 68 | Temperature normal
2026-05-22 15:13:17 | Device: pump_01 | Temp: 86 | ALERT: Temperature critical
2026-05-22 15:13:18 | Device: pump_01 | Temp: 88 | ALERT: Temperature critical
2026-05-22 15:13:19 | Device: pump_01 | Temp: 87 | ALERT: Temperature critical
2026-05-22 15:13:20 | Device: pump_01 | Temp: 76 | Temperature normal
2026-05-22 15:13:21 | Device: pump_01 | Temp: 72 | Temperature normal
2026-05-22 15:13:22 | Device: pump_01 | Temp: 75 | Temperature normal
2026-05-22 15:13:23 | Device: pump_01 | Temp: 63 | Temperature normal
2026-05-22 15:13:24 | Device: pump_01 | Temp: 83 | ALERT: Temperature critical
2026-05-22 15:13:25 | Device: pump_01 | Temp: 79 | Temperature normal
2026-05-22 15:13:26 | Device: pump_01 | Temp: 80 | Temperature normal
2026-05-22 15:13:27 | Device: pump_01 | Temp: 63 | Temperature normal
2026-05-22 15:13:28 | Device: pump_01 | Temp: 63 | Temperature normal
2026-05-22 15:13:29 | Device: pump_01 | Temp: 62 | Temperature normal
2026-05-22 15:13:30 | Device: pump_01 | Temp: 75 | Temperature normal
2026-05-22 15:13:31 | Device: pump_01 | Temp: 62 | Temperature normal
2026-05-22 15:13:32 | Device: pump_01 | Temp: 70 | Temperature normal
2026-05-22 15:13:33 | Device: pump_01 | Temp: 68 | Temperature normal
2026-05-22 15:13:34 | Device: pump_01 | Temp: 60 | Temperature normal
2026-05-22 15:13:35 | Device: pump_01 | Temp: 73 | Temperature normal
2026-05-22 15:13:36 | Device: pump_01 | Temp: 62 | Temperature normal
2026-05-22 15:13:37 | Device: pump_01 | Temp: 86 | ALERT: Temperature critical
2026-05-22 15:13:38 | Device: pump_01 | Temp: 84 | ALERT: Temperature critical
